configuration,feature_method,num_features,features,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
RF_Baseline,built_in,10,"V17,V14,V10,V9,V4,V11,V16,V12,V7,V18",0.9996137776061234,0.9418604651162791,0.826530612244898,0.8804347826086957,0.9528368079083068,0.8455017601150097,56859,5,17,81
RF_Baseline,shap,10,"V17,V14,V10,V9,V4,V11,V16,V12,V26,V7",0.9996137776061234,0.9523809523809523,0.8163265306122449,0.8791208791208791,0.9529425022682118,0.8477313324608509,56860,4,18,80
RF_Baseline,global_interaction,6,"V17,V14,V10,V11,V16,V12",0.9996313331694814,0.9425287356321839,0.8367346938775511,0.8864864864864865,0.9375558977811721,0.8557498151417842,56859,5,16,82
RF_Baseline,fraud_interaction,6,"V17,V14,V10,V11,V16,V12",0.9996313331694814,0.9425287356321839,0.8367346938775511,0.8864864864864865,0.9375558977811721,0.8557498151417842,56859,5,16,82
RF_SMOTE_Tomek,built_in,10,"V2,V17,V14,V10,V9,V4,V11,V16,V12,V3",0.9991397773954567,0.7130434782608696,0.8367346938775511,0.7699530516431925,0.9644045980097161,0.8381860812978437,56831,33,16,82
RF_SMOTE_Tomek,shap,10,"V2,V1,V17,V14,V10,V4,V11,V16,V12,V3",0.9991748885221726,0.7256637168141593,0.8367346938775511,0.7772511848341233,0.96490606301609,0.8475454671147885,56833,31,16,82
RF_SMOTE_Tomek,global_interaction,6,"V14,V10,V4,V11,V12,V3",0.9985253326779256,0.5466666666666666,0.8367346938775511,0.6612903225806451,0.973310648823401,0.7978110443149193,56796,68,16,82
RF_SMOTE_Tomek,fraud_interaction,7,"V17,V14,V10,V4,V16,V12,V3",0.9987711105649381,0.6029411764705882,0.8367346938775511,0.7008547008547008,0.9536862209008533,0.8337446399303857,56810,54,16,82
