split,train_samples,test_samples,accuracy,precision,recall,f1,roc_auc,pr_auc,true_negatives,false_positives,false_negatives,true_positives
1,47467,47467,0.9995365201087071,0.9454545454545454,0.7323943661971831,0.8253968253968254,0.9231665416585936,0.8091658553872956,47393,3,19,52
2,94934,47467,0.9996207891798513,0.8695652173913043,0.7692307692307693,0.8163265306122449,0.9294147827286074,0.7048958476026645,47409,6,12,40
3,142401,47467,0.9990941074852002,0.8452380952380952,0.7029702970297029,0.7675675675675676,0.9777368819092778,0.7622329362547778,47353,13,30,71
4,189868,47467,0.9995786546442792,0.8867924528301887,0.7704918032786885,0.8245614035087719,0.9672924780220805,0.7943125256095466,47400,6,14,47
5,237335,47472,0.9995576339737108,0.8846153846153846,0.7540983606557377,0.8141592920353983,0.9500702092030244,0.7902407379556875,47405,6,15,46
